# acceptance rate 2.79
# Om   w   H0   log_like
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.057 -1.015 73.388 -230.746
0.057 -1.015 73.388 -230.746
0.057 -1.015 73.388 -230.746
0.057 -1.015 73.388 -230.746
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.028 -0.956 73.353 -232.109
0.029 -0.943 72.998 -230.771
0.029 -0.943 72.998 -230.771
0.029 -0.943 72.998 -230.771
0.029 -0.943 72.998 -230.771
0.029 -0.943 72.998 -230.771
0.029 -0.943 72.998 -230.771
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
