# acceptance rate 0.42
# Om   w   H0
0.387 -0.644 60.913
0.481 -0.782 60.478
0.481 -0.782 60.478
0.481 -0.782 60.478
0.481 -0.782 60.478
0.481 -0.782 60.478
0.481 -0.782 60.478
0.481 -0.782 60.478
0.396 -0.636 60.977
0.396 -0.636 60.977
0.396 -0.636 60.977
0.480 -0.601 60.025
0.447 -0.487 59.451
0.447 -0.487 59.451
0.490 -0.557 59.244
0.490 -0.557 59.244
0.516 -0.608 59.355
0.422 -0.442 59.659
0.422 -0.442 59.659
0.422 -0.442 59.659
0.422 -0.442 59.659
0.422 -0.442 59.659
0.422 -0.442 59.659
0.431 -0.446 59.643
0.392 -0.335 59.747
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.502 -0.519 59.478
0.422 -0.429 59.202
0.422 -0.429 59.202
0.367 -0.364 59.329
0.345 -0.362 59.485
0.345 -0.362 59.485
0.345 -0.362 59.485
0.369 -0.367 59.321
0.370 -0.368 59.319
0.353 -0.328 58.962
0.370 -0.318 58.781
0.370 -0.318 58.781
0.370 -0.318 58.781
0.369 -0.322 58.815
0.369 -0.322 58.815
0.268 -0.301 59.204
0.268 -0.301 59.204
0.262 -0.277 58.840
0.262 -0.277 58.840
0.121 -0.232 59.070
0.121 -0.232 59.070
0.121 -0.232 59.070
0.121 -0.232 59.070
0.121 -0.232 59.070
0.121 -0.232 59.070
0.121 -0.232 59.070
0.121 -0.232 59.070
0.121 -0.232 59.070
0.109 -0.231 59.120
0.109 -0.231 59.120
0.109 -0.231 59.120
0.109 -0.231 59.120
0.109 -0.231 59.120
0.109 -0.231 59.120
0.109 -0.231 59.120
0.113 -0.234 59.127
0.113 -0.234 59.127
0.113 -0.234 59.127
0.113 -0.234 59.127
0.113 -0.234 59.127
0.204 -0.252 58.848
0.204 -0.252 58.848
0.203 -0.251 58.850
0.181 -0.204 58.421
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.125 -0.186 58.444
0.205 -0.219 58.282
0.205 -0.219 58.282
0.205 -0.219 58.282
0.205 -0.219 58.282
0.205 -0.219 58.282
0.205 -0.219 58.282
0.205 -0.218 58.275
0.205 -0.218 58.275
0.205 -0.218 58.275
0.205 -0.218 58.275
0.205 -0.218 58.275
0.205 -0.218 58.275
0.192 -0.244 58.913
0.295 -0.256 58.507
0.295 -0.256 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.353 -0.299 58.507
0.405 -0.336 58.485
0.405 -0.336 58.485
0.405 -0.336 58.485
0.375 -0.330 58.562
0.375 -0.330 58.562
0.393 -0.316 58.623
0.331 -0.253 58.648
0.331 -0.253 58.648
0.403 -0.331 58.561
0.441 -0.366 58.588
0.441 -0.366 58.588
0.441 -0.366 58.588
0.498 -0.359 58.229
0.536 -0.420 58.478
0.536 -0.420 58.478
0.538 -0.424 58.484
0.545 -0.407 58.251
0.545 -0.407 58.251
0.532 -0.414 58.347
0.516 -0.390 58.417
0.573 -0.443 58.518
0.573 -0.443 58.518
0.573 -0.443 58.518
0.573 -0.443 58.518
0.573 -0.443 58.518
0.573 -0.443 58.518
0.573 -0.443 58.518
0.573 -0.443 58.518
0.573 -0.443 58.518
0.575 -0.446 58.506
0.575 -0.450 58.555
0.575 -0.450 58.555
0.662 -0.583 59.004
0.708 -1.018 58.903
0.739 -1.299 59.123
0.739 -1.299 59.123
0.750 -1.357 59.216
0.732 -1.018 58.643
0.750 -1.080 58.646
0.758 -1.117 58.711
0.758 -1.117 58.711
0.756 -1.101 58.682
0.751 -1.077 58.659
0.752 -1.080 58.662
0.745 -1.049 58.692
0.751 -1.100 58.780
0.751 -1.100 58.780
0.758 -1.116 58.673
0.758 -1.116 58.673
0.763 -1.219 58.956
0.759 -1.154 58.820
0.759 -1.154 58.820
0.759 -1.154 58.820
0.706 -0.917 58.590
0.701 -0.899 58.566
0.715 -0.827 58.275
0.748 -0.934 58.116
0.748 -0.934 58.116
0.772 -0.992 58.104
0.772 -0.992 58.104
0.790 -1.085 57.969
0.795 -1.094 57.956
0.795 -1.094 57.956
0.795 -1.094 57.956
0.795 -1.094 57.956
0.775 -0.949 57.963
0.799 -1.007 57.809
0.799 -1.007 57.809
0.799 -1.007 57.809
0.797 -0.889 57.705
0.716 -0.762 58.015
0.722 -0.782 58.019
0.722 -0.782 58.019
0.734 -0.845 58.141
0.772 -0.953 58.092
0.772 -0.953 58.092
0.757 -0.849 57.944
0.757 -0.793 57.792
0.733 -0.733 57.820
0.700 -0.636 57.890
0.700 -0.636 57.890
0.700 -0.636 57.890
0.733 -0.693 57.683
0.740 -0.596 57.261
0.773 -0.629 57.222
0.773 -0.629 57.222
0.806 -0.651 57.080
0.774 -0.629 57.217
0.774 -0.629 57.217
0.734 -0.589 57.370
0.757 -0.670 57.445
0.724 -0.624 57.593
0.724 -0.624 57.593
0.736 -0.635 57.555
0.736 -0.635 57.555
0.736 -0.637 57.551
0.727 -0.462 57.141
0.730 -0.443 57.014
0.715 -0.462 57.233
0.587 -0.409 57.708
0.562 -0.356 57.695
0.562 -0.356 57.695
0.551 -0.367 57.741
0.551 -0.367 57.741
0.551 -0.367 57.741
0.551 -0.367 57.741
0.611 -0.407 57.474
0.611 -0.407 57.474
0.625 -0.500 57.813
0.625 -0.500 57.813
0.618 -0.448 57.554
0.618 -0.448 57.554
0.618 -0.448 57.554
0.614 -0.445 57.629
0.614 -0.445 57.629
0.614 -0.445 57.629
0.576 -0.397 58.021
0.576 -0.397 58.021
0.576 -0.397 58.021
0.576 -0.397 58.021
0.576 -0.397 58.021
0.576 -0.397 58.021
0.576 -0.397 58.021
0.567 -0.390 57.981
0.567 -0.390 57.981
0.567 -0.390 57.981
0.591 -0.421 58.089
0.648 -0.494 58.314
0.648 -0.494 58.314
0.648 -0.494 58.314
0.635 -0.441 58.327
0.618 -0.423 58.270
0.608 -0.406 58.312
0.533 -0.362 58.253
0.533 -0.362 58.253
0.533 -0.362 58.253
0.533 -0.362 58.253
0.533 -0.362 58.253
0.533 -0.362 58.253
0.531 -0.358 58.261
0.531 -0.358 58.261
0.537 -0.375 58.343
0.537 -0.375 58.343
0.537 -0.375 58.343
0.537 -0.375 58.343
0.501 -0.322 58.397
0.581 -0.525 58.347
0.622 -0.491 58.175
0.622 -0.491 58.175
0.598 -0.468 58.313
0.553 -0.414 58.137
0.499 -0.342 58.137
0.612 -0.458 58.349
0.607 -0.460 58.450
0.607 -0.460 58.450
0.607 -0.460 58.450
0.607 -0.460 58.450
0.607 -0.460 58.450
0.636 -0.546 58.337
0.602 -0.491 58.393
0.584 -0.468 58.328
0.584 -0.468 58.328
0.582 -0.466 58.336
0.582 -0.466 58.336
0.577 -0.437 58.205
0.577 -0.437 58.205
0.577 -0.437 58.205
0.575 -0.517 58.716
0.585 -0.525 58.731
0.585 -0.525 58.731
0.585 -0.525 58.731
0.585 -0.525 58.731
0.598 -0.633 59.287
0.598 -0.633 59.287
0.598 -0.633 59.287
0.657 -0.716 58.805
0.657 -0.716 58.805
0.657 -0.716 58.805
0.635 -0.564 58.806
0.635 -0.564 58.806
0.633 -0.574 58.882
0.536 -0.426 58.339
0.501 -0.373 58.534
0.498 -0.379 58.606
0.498 -0.379 58.606
0.498 -0.379 58.606
0.512 -0.393 58.554
0.535 -0.418 58.660
0.535 -0.418 58.660
0.535 -0.418 58.660
0.535 -0.418 58.660
0.535 -0.418 58.660
0.540 -0.421 58.629
0.540 -0.421 58.629
0.590 -0.451 58.146
0.590 -0.451 58.146
0.590 -0.451 58.146
0.576 -0.442 58.083
0.576 -0.442 58.083
0.628 -0.590 58.273
0.628 -0.590 58.273
0.628 -0.590 58.273
0.628 -0.590 58.273
0.578 -0.550 58.461
0.578 -0.550 58.461
0.640 -0.565 58.290
0.640 -0.565 58.290
0.640 -0.565 58.290
0.640 -0.565 58.290
0.640 -0.565 58.290
0.640 -0.565 58.290
0.608 -0.504 58.393
0.575 -0.449 58.215
0.575 -0.449 58.215
0.575 -0.449 58.215
0.575 -0.449 58.215
0.725 -0.573 58.133
0.725 -0.573 58.133
0.677 -0.542 58.431
0.653 -0.547 58.739
0.653 -0.547 58.739
0.653 -0.547 58.739
0.638 -0.505 58.813
0.638 -0.505 58.813
0.638 -0.505 58.813
0.728 -0.935 58.298
0.728 -0.935 58.298
0.728 -0.935 58.298
0.730 -0.918 58.259
0.730 -0.918 58.259
0.703 -0.771 58.428
0.703 -0.771 58.428
0.703 -0.771 58.428
0.699 -0.768 58.438
0.701 -0.775 58.451
0.701 -0.775 58.451
0.686 -0.717 58.349
0.686 -0.717 58.349
0.700 -0.737 58.401
0.700 -0.737 58.401
0.700 -0.737 58.401
0.700 -0.737 58.401
0.688 -0.605 58.318
0.687 -0.606 58.336
0.687 -0.606 58.336
0.687 -0.606 58.336
0.687 -0.606 58.336
0.687 -0.606 58.336
0.687 -0.606 58.336
0.687 -0.606 58.336
0.687 -0.606 58.336
0.645 -0.490 57.943
0.652 -0.521 58.049
0.652 -0.520 58.048
0.620 -0.503 58.065
0.620 -0.503 58.065
0.570 -0.359 58.054
0.589 -0.367 58.066
0.589 -0.367 58.066
0.590 -0.370 58.061
0.590 -0.370 58.061
0.590 -0.370 58.061
0.590 -0.370 58.061
0.590 -0.370 58.061
