# acceptance rate 0.44
# Om   w   H0
0.993 -1.025 55.927
0.993 -1.025 55.927
0.993 -1.025 55.927
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.992 -0.844 55.918
0.993 -0.807 55.898
0.993 -0.807 55.898
0.993 -0.807 55.898
0.993 -0.807 55.898
0.993 -0.807 55.898
0.993 -0.807 55.898
0.993 -0.807 55.898
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.997 -0.825 55.921
0.998 -0.797 55.908
0.998 -0.797 55.908
0.998 -0.797 55.908
0.998 -0.797 55.908
0.998 -0.797 55.908
0.997 -0.790 55.911
0.997 -0.790 55.911
0.997 -0.790 55.911
0.997 -0.790 55.911
0.997 -0.790 55.911
0.997 -0.790 55.911
0.997 -0.790 55.911
0.997 -0.790 55.911
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.996 -0.392 55.888
0.994 0.176 56.043
1.000 0.379 55.964
1.000 0.379 55.964
1.000 0.379 55.964
1.000 0.379 55.964
1.000 0.379 55.964
0.915 0.333 55.617
0.915 0.333 55.617
0.915 0.333 55.617
0.888 0.320 55.546
0.888 0.320 55.546
0.888 0.320 55.546
0.933 0.354 55.611
0.933 0.354 55.611
0.933 0.354 55.611
0.935 0.355 55.614
0.935 0.355 55.614
0.935 0.355 55.614
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.924 0.346 55.598
0.980 0.367 55.713
0.980 0.367 55.713
0.976 0.364 55.709
0.915 0.316 55.592
0.911 0.348 55.571
0.911 0.348 55.571
0.911 0.348 55.571
0.911 0.348 55.571
0.911 0.348 55.571
0.911 0.348 55.571
0.911 0.348 55.571
0.939 0.359 55.636
0.939 0.359 55.636
0.948 0.363 55.653
0.768 0.293 54.949
0.768 0.293 54.949
0.892 0.351 55.054
0.892 0.351 55.054
0.892 0.351 55.054
0.892 0.351 55.054
0.899 0.287 55.142
0.899 0.287 55.142
0.899 0.287 55.142
0.847 0.275 55.080
0.790 0.257 55.006
0.790 0.257 55.006
0.790 0.257 55.006
0.790 0.257 55.006
0.758 0.248 54.925
0.758 0.248 54.925
0.762 0.206 54.936
0.762 0.206 54.936
0.762 0.206 54.936
0.650 0.215 54.435
0.650 0.215 54.435
0.650 0.215 54.435
0.650 0.215 54.435
0.650 0.215 54.435
0.650 0.215 54.435
0.650 0.215 54.435
0.650 0.215 54.435
0.650 0.215 54.435
0.621 0.209 54.404
0.621 0.209 54.404
0.621 0.209 54.404
0.621 0.209 54.404
0.610 0.207 54.388
0.608 0.208 54.372
0.608 0.208 54.372
0.597 0.205 54.371
0.619 0.210 54.444
0.668 0.222 54.604
0.668 0.222 54.604
0.667 0.232 54.483
0.667 0.232 54.483
0.678 0.231 54.585
0.678 0.231 54.585
0.678 0.231 54.585
0.665 0.216 54.525
0.611 0.218 54.320
0.611 0.218 54.320
0.603 0.240 54.293
0.603 0.240 54.293
0.669 0.275 54.248
0.669 0.275 54.248
0.616 0.259 54.162
0.661 0.279 54.098
0.661 0.279 54.098
0.661 0.279 54.098
0.631 0.268 54.096
0.631 0.268 54.096
0.589 0.249 54.067
0.589 0.249 54.067
0.589 0.249 54.067
0.314 0.173 54.069
0.357 0.169 54.091
0.366 0.170 54.090
0.274 0.155 53.799
0.252 0.142 53.917
0.252 0.142 53.917
0.252 0.142 53.917
0.229 0.144 53.815
0.288 0.141 53.950
0.288 0.141 53.950
0.363 0.136 54.109
0.427 0.140 54.161
0.427 0.140 54.161
0.427 0.140 54.161
0.462 0.182 54.031
