# acceptance rate 0.41
# Om   w   H0
0.314 -0.273 58.798
0.314 -0.273 58.798
0.314 -0.273 58.798
0.361 -0.294 58.678
0.361 -0.294 58.678
0.361 -0.294 58.678
0.361 -0.294 58.678
0.364 -0.332 58.978
0.364 -0.332 58.978
0.340 -0.355 59.392
0.340 -0.355 59.392
0.338 -0.343 59.284
0.338 -0.343 59.284
0.338 -0.343 59.284
0.338 -0.343 59.284
0.338 -0.343 59.284
0.338 -0.343 59.284
0.309 -0.372 59.684
0.309 -0.372 59.684
0.309 -0.372 59.684
0.309 -0.372 59.684
0.415 -0.400 59.043
0.318 -0.299 59.062
0.318 -0.299 59.062
0.318 -0.299 59.062
0.318 -0.299 59.062
0.318 -0.299 59.062
0.318 -0.299 59.062
0.318 -0.299 59.062
0.318 -0.299 59.062
0.318 -0.299 59.062
0.363 -0.338 58.924
0.363 -0.338 58.924
0.386 -0.317 58.663
0.386 -0.317 58.663
0.386 -0.317 58.663
0.341 -0.341 59.091
0.341 -0.341 59.091
0.341 -0.341 59.091
0.341 -0.341 59.091
0.448 -0.394 58.824
0.502 -0.450 58.899
0.502 -0.450 58.899
0.494 -0.419 58.713
0.499 -0.423 58.707
0.648 -0.556 58.218
0.643 -0.507 58.070
0.643 -0.507 58.070
0.643 -0.507 58.070
0.655 -0.521 58.084
0.655 -0.520 58.085
0.655 -0.520 58.085
0.623 -0.568 58.349
0.554 -0.406 58.383
0.554 -0.406 58.383
0.541 -0.399 58.440
0.459 -0.348 58.292
0.390 -0.317 58.405
0.365 -0.311 58.484
0.365 -0.311 58.484
0.365 -0.311 58.484
0.365 -0.311 58.484
0.323 -0.268 58.493
0.306 -0.261 58.528
0.346 -0.281 58.593
0.346 -0.281 58.593
0.346 -0.281 58.593
0.346 -0.281 58.593
0.346 -0.281 58.593
0.346 -0.281 58.593
0.346 -0.281 58.593
0.389 -0.299 58.713
0.391 -0.300 58.699
0.391 -0.300 58.699
0.389 -0.296 58.631
0.389 -0.296 58.631
0.381 -0.291 58.591
0.408 -0.332 58.579
0.451 -0.359 58.449
0.451 -0.359 58.449
0.451 -0.359 58.449
0.465 -0.341 58.342
0.514 -0.371 58.507
0.476 -0.344 58.237
0.435 -0.293 58.221
0.435 -0.293 58.221
0.435 -0.293 58.221
0.435 -0.293 58.221
0.435 -0.293 58.221
0.435 -0.293 58.221
0.435 -0.293 58.221
0.435 -0.293 58.221
0.433 -0.292 58.216
0.433 -0.292 58.216
0.433 -0.292 58.216
0.433 -0.292 58.216
0.433 -0.292 58.216
0.434 -0.297 58.282
0.434 -0.297 58.282
0.434 -0.297 58.282
0.434 -0.297 58.282
0.434 -0.297 58.282
0.434 -0.297 58.282
0.434 -0.297 58.282
0.468 -0.310 58.384
0.468 -0.310 58.384
0.468 -0.310 58.384
0.399 -0.275 58.136
0.399 -0.275 58.136
0.399 -0.275 58.136
0.399 -0.275 58.136
0.475 -0.301 58.169
0.475 -0.301 58.169
0.475 -0.301 58.169
0.502 -0.346 58.151
0.502 -0.346 58.151
0.522 -0.354 58.105
0.522 -0.354 58.105
0.522 -0.354 58.105
0.509 -0.302 58.080
0.505 -0.298 58.085
0.592 -0.304 57.692
0.393 -0.243 57.626
0.393 -0.243 57.626
0.393 -0.243 57.626
0.393 -0.243 57.626
0.393 -0.243 57.626
0.393 -0.243 57.626
0.350 -0.197 57.298
0.350 -0.197 57.298
0.299 -0.144 57.030
0.299 -0.144 57.030
0.299 -0.144 57.030
0.374 -0.222 57.425
0.374 -0.222 57.425
0.374 -0.222 57.425
0.415 -0.261 57.512
0.415 -0.261 57.512
0.415 -0.261 57.512
0.600 -0.368 57.765
0.598 -0.351 57.816
0.598 -0.351 57.816
0.632 -0.426 57.896
0.632 -0.426 57.896
0.567 -0.397 57.887
0.567 -0.397 57.887
0.567 -0.397 57.887
0.567 -0.397 57.887
0.587 -0.441 57.921
0.587 -0.441 57.921
0.587 -0.441 57.921
0.627 -0.461 57.881
0.627 -0.461 57.881
0.644 -0.471 57.880
0.644 -0.471 57.880
0.644 -0.471 57.880
0.624 -0.452 57.889
0.608 -0.357 57.720
0.606 -0.332 57.621
0.606 -0.332 57.621
0.606 -0.332 57.621
0.606 -0.332 57.621
0.530 -0.305 57.716
0.488 -0.289 57.659
0.488 -0.289 57.659
0.402 -0.226 57.908
0.402 -0.226 57.908
0.402 -0.226 57.908
0.406 -0.219 57.841
0.406 -0.219 57.841
0.390 -0.207 57.887
0.390 -0.207 57.887
0.390 -0.207 57.887
0.441 -0.258 57.865
0.441 -0.258 57.865
0.441 -0.258 57.865
0.441 -0.258 57.865
0.418 -0.255 57.926
0.304 -0.163 57.821
0.356 -0.272 57.959
0.207 -0.146 58.021
0.207 -0.146 58.021
0.192 -0.162 58.084
0.192 -0.162 58.084
0.192 -0.162 58.084
0.144 -0.165 57.962
0.150 -0.170 57.973
0.150 -0.170 57.973
0.150 -0.170 57.973
0.089 -0.151 57.967
0.090 -0.159 57.979
0.094 -0.164 57.993
0.094 -0.164 57.993
0.081 -0.148 57.987
0.068 -0.143 57.851
0.068 -0.143 57.851
0.068 -0.143 57.851
0.068 -0.143 57.851
0.071 -0.144 57.839
0.071 -0.144 57.839
0.071 -0.144 57.839
0.071 -0.144 57.839
0.071 -0.144 57.839
0.071 -0.144 57.839
0.062 -0.136 57.472
0.062 -0.136 57.472
0.062 -0.136 57.472
0.062 -0.136 57.472
0.113 -0.156 57.520
0.113 -0.156 57.520
0.113 -0.156 57.520
0.137 -0.172 57.746
0.137 -0.172 57.746
0.137 -0.172 57.746
0.137 -0.172 57.746
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.010 -0.145 57.726
0.007 -0.145 57.739
0.007 -0.145 57.739
0.007 -0.145 57.739
0.007 -0.145 57.739
0.007 -0.145 57.739
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.013 -0.147 57.759
0.018 -0.148 57.749
0.018 -0.148 57.749
0.018 -0.148 57.749
0.087 -0.170 57.968
0.087 -0.170 57.968
0.114 -0.185 57.978
0.636 -0.878 59.974
0.642 -0.774 59.468
0.610 -0.688 59.744
0.604 -0.666 59.727
0.604 -0.666 59.727
0.604 -0.666 59.727
0.714 -0.721 58.662
0.729 -0.733 58.595
0.729 -0.733 58.595
0.747 -0.690 58.333
0.747 -0.690 58.333
0.557 -0.524 58.218
0.572 -0.534 58.298
0.572 -0.534 58.298
0.521 -0.497 58.390
0.521 -0.497 58.390
0.582 -0.637 58.782
0.582 -0.637 58.782
0.582 -0.637 58.782
0.526 -0.560 58.910
0.372 -0.412 59.673
0.496 -0.532 59.498
0.558 -0.589 59.121
0.558 -0.589 59.121
0.558 -0.589 59.121
0.558 -0.589 59.121
0.558 -0.589 59.121
0.572 -0.581 58.926
0.572 -0.581 58.926
0.567 -0.578 58.976
0.567 -0.578 58.976
0.555 -0.444 58.177
0.527 -0.391 58.046
0.611 -0.444 57.721
0.611 -0.444 57.721
0.582 -0.363 57.699
0.584 -0.365 57.693
0.558 -0.383 57.597
0.597 -0.463 57.836
0.597 -0.463 57.836
0.609 -0.506 57.899
0.600 -0.451 57.656
0.600 -0.451 57.656
0.563 -0.421 57.691
0.509 -0.251 57.462
0.546 -0.265 57.548
0.546 -0.265 57.548
0.546 -0.265 57.548
0.546 -0.265 57.548
0.546 -0.265 57.548
0.546 -0.265 57.548
0.546 -0.265 57.548
0.546 -0.265 57.548
0.546 -0.265 57.548
0.438 -0.218 57.610
0.438 -0.218 57.610
0.461 -0.277 57.706
0.461 -0.277 57.706
0.461 -0.277 57.706
0.445 -0.270 57.690
0.525 -0.305 57.840
0.525 -0.305 57.840
0.525 -0.305 57.840
0.525 -0.305 57.840
0.525 -0.305 57.840
0.525 -0.305 57.840
0.525 -0.305 57.840
0.555 -0.333 57.873
0.555 -0.333 57.873
0.555 -0.333 57.873
