# acceptance rate 12.69
# Om   w   H0   log_like
0.305 -1.062 68.431 -646.075
0.305 -1.062 68.431 -646.075
0.305 -1.062 68.431 -646.075
0.305 -1.062 68.431 -646.075
0.305 -1.062 68.431 -646.075
0.323 -1.117 69.038 -643.754
0.323 -1.117 69.038 -643.754
0.323 -1.117 69.038 -643.754
0.323 -1.117 69.038 -643.754
0.333 -1.136 68.563 -643.810
0.333 -1.136 68.563 -643.810
0.333 -1.136 68.563 -643.810
0.333 -1.136 68.563 -643.810
0.333 -1.136 68.563 -643.810
0.333 -1.136 68.563 -643.810
0.333 -1.136 68.563 -643.810
0.333 -1.136 68.563 -643.810
0.359 -1.108 67.550 -644.810
0.359 -1.108 67.550 -644.810
0.359 -1.108 67.550 -644.810
0.359 -1.108 67.550 -644.810
0.359 -1.108 67.550 -644.810
0.359 -1.108 67.550 -644.810
0.359 -1.108 67.550 -644.810
0.359 -1.108 67.550 -644.810
0.340 -1.088 67.650 -646.560
0.340 -1.088 67.650 -646.560
0.340 -1.088 67.650 -646.560
0.340 -1.088 67.650 -646.560
0.340 -1.088 67.650 -646.560
0.340 -1.088 67.650 -646.560
0.340 -1.088 67.650 -646.560
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.355 -1.097 68.269 -644.519
0.363 -1.052 67.376 -644.516
0.363 -1.052 67.376 -644.516
0.363 -1.052 67.376 -644.516
0.363 -1.052 67.376 -644.516
0.363 -1.052 67.376 -644.516
0.363 -1.052 67.376 -644.516
0.363 -1.052 67.376 -644.516
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.345 -1.080 68.058 -642.910
0.360 -1.125 68.243 -643.510
0.360 -1.125 68.243 -643.510
0.360 -1.125 68.243 -643.510
0.360 -1.125 68.243 -643.510
0.360 -1.125 68.243 -643.510
0.360 -1.125 68.243 -643.510
0.360 -1.125 68.243 -643.510
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.345 -1.127 68.425 -642.722
0.362 -1.144 68.277 -643.184
0.367 -1.216 69.012 -645.008
0.367 -1.216 69.012 -645.008
0.367 -1.216 69.012 -645.008
0.367 -1.216 69.012 -645.008
0.367 -1.216 69.012 -645.008
0.346 -1.155 69.071 -645.067
0.344 -1.144 69.025 -645.032
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.319 -1.094 68.676 -643.552
0.322 -1.093 68.422 -644.265
0.322 -1.093 68.422 -644.265
0.322 -1.093 68.422 -644.265
0.322 -1.093 68.422 -644.265
0.322 -1.093 68.422 -644.265
0.322 -1.093 68.422 -644.265
0.322 -1.093 68.422 -644.265
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.307 -1.090 69.245 -644.801
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.286 -1.038 69.361 -646.166
0.316 -1.089 69.292 -646.026
0.316 -1.089 69.292 -646.026
0.316 -1.089 69.292 -646.026
0.316 -1.089 69.292 -646.026
